年,月,结果,数量
None,None,不合格,514
None,None,合格,4964
None,None,图片无效,66
None,None,姝ｅ父,23423
None,None,寮傚父,8454
2019,05,不合格,76
2019,06,不合格,41
2019,06,合格,5
2019,06,图片无效,15
2019,10,不合格,178
2019,10,匹配失败,14
2019,10,图片无效,24
2019,10,读取模板文件失败,29
