年,月,周,结果,数量
None,None,None,不合格,514
None,None,None,合格,4964
None,None,None,图片无效,66
None,None,None,姝ｅ父,23423
None,None,None,寮傚父,8454
2019,05,20,不合格,76
2019,06,23,不合格,41
2019,06,23,合格,5
2019,06,23,图片无效,15
2019,10,41,不合格,178
2019,10,41,匹配失败,14
2019,10,41,图片无效,24
2019,10,41,读取模板文件失败,29
